league,league_country,season,team,coach_name,coach_nationality,domestic_coach,dominant_formation,back_four_rate,avg_age,source_notes
Premier League,England,2020-2021,Manchester City,Pep Guardiola,,,4-3-3 Attacking,0.9210526315789473,26.61635163092796,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2021-2022,Manchester City,Pep Guardiola,,,4-3-3 Attacking,1.0,27.467526346417035,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2022-2023,Manchester City,Pep Guardiola,,,4-3-3 Attacking,0.6052631578947368,27.605193694414968,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Premier League,England,2023-2024,Manchester City,Pep Guardiola,,,4-2-3-1,0.7368421052631579,27.086519107507257,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2019-2020,Porto,Sérgio Conceição,,,4-4-2 double 6,1.0,27.90326881416863,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2020-2021,Sporting CP,Rúben Amorim,,,3-4-3,0.0,25.95826909489296,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2021-2022,Porto,Sérgio Conceição,,,4-4-2 double 6,1.0,26.20834285330642,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2022-2023,Benfica,Roger Schmidt,,,4-2-3-1,1.0,26.417769137752195,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Primeira Liga,Portugal,2023-2024,Sporting CP,Rúben Amorim,,,3-4-3,0.0,26.68521370814438,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2019-2020,Juventus,Maurizio Sarri,,,4-3-3 Attacking,1.0,29.145526760375994,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2020-2021,Inter,Antonio Conte,,,3-5-2 flat,0.0,28.191044087060625,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2021-2022,AC Milan,Stefano Pioli,,,4-2-3-1,1.0,26.016164391968665,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2022-2023,Napoli,Luciano Spalletti,,,4-3-3 Attacking,1.0,26.870633565838098,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Serie A,Italy,2023-2024,Inter,Simone Inzaghi,,,3-5-2 flat,0.0,29.50435553360792,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2019-2020,İstanbul Başakşehir,Okan Buruk,,,4-1-4-1,1.0,30.57925974047882,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2020-2021,Beşiktaş,Sergen Yalçın,,,4-1-4-1,1.0,28.148157877358756,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2021-2022,Trabzonspor,Abdullah Avcı,,,4-2-3-1,1.0,28.306784658747393,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2022-2023,Galatasaray,Okan Buruk,,,4-2-3-1,1.0,28.023699240425486,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Süper Lig,Turkey,2023-2024,Galatasaray,Okan Buruk,,,4-2-3-1,1.0,28.871841812887784,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
