league,league_country,season,team,coach_name,coach_nationality,domestic_coach,dominant_formation,back_four_rate,avg_age,source_notes
Belgian Pro League,Belgium,2019-2020,Club Brugge,Philippe Clement,Belgian,1,3-5-2,0.4827586206896552,26.11686078370109,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2020-2021,Club Brugge,Philippe Clement,Belgian,1,4-3-3 Attacking,0.8235294117647058,26.424966976749257,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2021-2022,Club Brugge,Philippe Clement,Belgian,1,3-5-2,0.5,27.32452263928518,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2022-2023,Royal Antwerp,Mark van Bommel,Dutch,0,4-2-3-1,0.9411764705882352,25.473216747409094,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Belgian Pro League,Belgium,2023-2024,Club Brugge,Ronny Deila,Norwegian,0,4-2-3-1,0.9666666666666668,26.034081720545487,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2019-2020,Bayern Munich,Hansi Flick,German,1,4-2-3-1,0.9705882352941176,27.13141243399518,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2020-2021,Bayern Munich,Hansi Flick,German,1,4-2-3-1,1.0,27.7394132367511,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2021-2022,Bayern Munich,Julian Nagelsmann,German,1,4-2-3-1,0.7058823529411765,27.24033455861412,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2022-2023,Bayern Munich,Julian Nagelsmann,German,1,4-2-3-1,0.8235294117647058,27.064268829146805,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Bundesliga,Germany,2023-2024,Bayer Leverkusen,Xabi Alonso,Spanish,0,3-4-2-1,0.0294117647058823,26.68588999887271,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Eredivisie,Netherlands,2018-2019,Ajax,Erik ten Hag,Dutch,1,4-3-3 Defending,1.0,24.88848771588469,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Eredivisie,Netherlands,2020-2021,Ajax,Erik ten Hag,Dutch,1,4-3-3 Defending,1.0,25.16664110259439,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Eredivisie,Netherlands,2021-2022,Ajax,Erik ten Hag,Dutch,1,4-3-3 Defending,1.0,26.64013273032434,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Eredivisie,Netherlands,2022-2023,Feyenoord,Arne Slot,Dutch,1,4-3-3 Defending,0.9705882352941176,23.95605466462629,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
Eredivisie,Netherlands,2023-2024,PSV Eindhoven,Peter Bosz,Dutch,1,4-3-3 Defending,1.0,26.543137252988345,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
La Liga,Spain,2019-2020,Real Madrid,Zinédine Zidane,French,0,4-3-3 Attacking,1.0,28.090766556137176,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
La Liga,Spain,2020-2021,Atletico Madrid,Diego Simeone,Argentine,0,3-4-2-1,0.3947368421052631,27.841336511289413,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv"
