league,league_country,season,team,coach_name,coach_nationality,domestic_coach,dominant_formation,back_four_rate,avg_age,source_notes,formation_family,kmeans_cluster,hier_cluster,pca1,pca2
Ligue 1,France,2019-2020,Paris Saint-Germain,Thomas Tuchel,German,0,4-3-3 Attacking,1.0,27.55622780530556,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,0.9578805677053321,1.1784462605095196
Ligue 1,France,2020-2021,Lille,Christophe Galtier,French,1,4-4-2 double 6,0.9736842105263158,25.85074342090489,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,3,1,0.4550614191915837,-1.2332316055703576
Ligue 1,France,2021-2022,Paris Saint-Germain,Mauricio Pochettino,Argentine,0,4-3-3 Attacking,0.9210526315789472,28.18545858544984,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,0.5460520152638783,1.550303178977725
Ligue 1,France,2022-2023,Paris Saint-Germain,Christophe Galtier,French,1,4-3-1-2,0.3421052631578947,27.289443826882284,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,2,2,-1.4322609089751421,-0.3973985885624587
Ligue 1,France,2023-2024,Paris Saint-Germain,Luis Enrique,Spanish,0,4-3-3 Attacking,0.9117647058823528,25.1498878598884,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,1.714841796602181,-0.25608232300602085
Premier League,England,2019-2020,Liverpool,Jürgen Klopp,German,0,4-3-3 Attacking,1.0,27.10994243252929,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,1.1325772705344137,0.9129175665384441
Premier League,England,2020-2021,Manchester City,Pep Guardiola,Spanish,0,4-3-3 Attacking,0.9210526315789472,26.61635163092796,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,1.1602729332292414,0.6167235777838559
Premier League,England,2021-2022,Manchester City,Pep Guardiola,Spanish,0,4-3-3 Attacking,1.0,27.467526346417035,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,0.9926024146427694,1.125671099214223
Premier League,England,2022-2023,Manchester City,Pep Guardiola,Spanish,0,4-3-3 Attacking,0.6052631578947368,27.605193694414968,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,0.11112021073907481,1.194981038779263
Premier League,England,2023-2024,Manchester City,Pep Guardiola,Spanish,0,4-2-3-1,0.7368421052631579,27.086519107507257,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,0.5900176769617438,0.8905821325091738
Primeira Liga,Portugal,2019-2020,Porto,Sérgio Conceição,Portuguese,1,4-4-2 double 6,1.0,27.90326881416863,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,1,3,-0.29321894183964425,-0.011190146126810276
Primeira Liga,Portugal,2020-2021,Sporting CP,Rúben Amorim,Portuguese,1,3-4-3,0.0,25.95826909489296,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Three,2,2,-1.628424783774594,-1.2003333165900982
Primeira Liga,Portugal,2021-2022,Porto,Sérgio Conceição,Portuguese,1,4-4-2 double 6,1.0,26.20834285330642,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,3,1,0.3702533450965452,-1.0196289259275355
Primeira Liga,Portugal,2022-2023,Benfica,Roger Schmidt,German,0,4-2-3-1,1.0,26.417769137752195,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,0,0,1.4035258602936396,0.5010916762555546
Primeira Liga,Portugal,2023-2024,Sporting CP,Rúben Amorim,Portuguese,1,3-4-3,0.0,26.68521370814438,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Three,2,2,-1.9129844732046353,-0.7678193568670101
Serie A,Italy,2019-2020,Juventus,Maurizio Sarri,Italian,1,4-3-3 Attacking,1.0,29.145526760376,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,1,3,-0.7794960651870172,0.727922426574504
Serie A,Italy,2020-2021,Inter,Antonio Conte,Italian,1,3-5-2 flat,0.0,28.191044087060625,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Three,2,2,-2.502436017583198,0.12811225605647045
Serie A,Italy,2021-2022,AC Milan,Stefano Pioli,Italian,1,4-2-3-1,1.0,26.016164391968665,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,3,1,0.44548086900489087,-1.1339703293460301
Serie A,Italy,2022-2023,Napoli,Luciano Spalletti,Italian,1,4-3-3 Attacking,1.0,26.87063356583809,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,3,1,0.11100217790310782,-0.6255824286521969
Serie A,Italy,2023-2024,Inter,Simone Inzaghi,Italian,1,3-5-2 flat,0.0,29.50435553360792,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Three,2,2,-3.0165267619700233,0.9094998937682437
Süper Lig,Turkey,2019-2020,İstanbul Başakşehir,Okan Buruk,Turkish,1,4-1-4-1,1.0,30.57925974047882,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,1,3,-1.3407253584599559,1.580957880866234
Süper Lig,Turkey,2020-2021,Beşiktaş,Sergen Yalçın,Turkish,1,4-1-4-1,1.0,28.14815787735876,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,1,3,-0.3890798293074153,0.13451275404256943
Süper Lig,Turkey,2021-2022,Trabzonspor,Abdullah Avcı,Turkish,1,4-2-3-1,1.0,28.3067846587474,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,1,3,-0.4511736763824289,0.22889174260080877
Süper Lig,Turkey,2022-2023,Galatasaray,Okan Buruk,Turkish,1,4-2-3-1,1.0,28.023699240425486,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,1,3,-0.3403609717396938,0.06046296138920491
Süper Lig,Turkey,2023-2024,Galatasaray,Okan Buruk,Turkish,1,4-2-3-1,1.0,28.871841812887784,"coach_name, dominant_formation, back_four_rate from games.csv; avg_age from appearances.csv + players.csv",Back Four,1,3,-0.672363138910021,0.565086691641018
