kmeans_cluster,count,domestic_coach_rate,mean_back_four_rate,mean_avg_age
0,15,0.0,0.8932370141038871,27.105142041431073
1,8,1.0,1.0,28.58974401764925
2,7,0.8571428571428571,0.12450243255196813,27.376962698392294
3,15,1.0,0.9167040318849863,26.16647298919144
